Category,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Category,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Category,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Category,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Category,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Category,Dec '12,Sep '12,Jun '12,Mar '12,Dec '11,Category,Sep '11,Jun '11,Mar '11,Dec '10,Sep '10,Category,Jun '10,Mar '10,Dec '09,Sep '09,Jun '09,Category,Mar '09,Dec '08,Sep '08,Jun '08,Mar '08,Category,Dec '07,Sep '07,Jun '07,Mar '07,Dec '06,Category,Sep '06,Jun '06,Mar '06,Dec '05,Sep '05,Category,Jun '05,Mar '05,Dec '04,Sep '04,Jun '04,Category,Mar '04,Dec '03,Sep '03,Jun '03,Mar '03,Category,Dec '02,Sep '02,Jun '02,Mar '02,Dec '01,Category,Sep '01,Jun '01,Mar '01,Dec '00,Sep '00,Category,Jun '00,Mar '00,Dec '99,Sep '99,Jun '99,Category,Mar '99,Dec '98,Sep '98,Jun '98,Mar '98,Category,Dec '97,Sep '97,Jun '97,Category,Dec '97,Sep '97,Jun '97
Depreciation,117.23,103.23,82.76,78.96,80.07,Depreciation,78.14,77.15,75.75,73.78,74.56,Depreciation,73.07,74.02,61.33,59.14,57.41,Depreciation,56.63,55.51,56.52,56.38,54.70,Depreciation,53.83,53.99,51.52,52.99,40.12,Depreciation,30.08,29.43,27.35,25.51,24.89,Depreciation,24.95,24.14,24.01,23.79,24.14,Depreciation,22.54,15.75,14.83,15.20,14.96,Depreciation,15.34,15.78,14.43,11.60,11.40,Depreciation,11.19,10.75,10.43,11.75,11.24,Depreciation,11.45,10.97,12.01,11.17,11.29,Depreciation,11.06,11.21,12.21,12.18,12.01,Depreciation,11.97,12.13,11.68,11.47,11.21,Depreciation,11.03,11.44,11.44,15.25,8.91,Depreciation,8.29,9.34,7.51,8.31,7.81,Depreciation,7.95,6.74,7.52,6.78,6.80,Depreciation,4.69,6.00,6.00,6.00,6.09,Depreciation,3.65,3.71,3.54,Depreciation,3.65,3.71,3.54
Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,--,--,Excise Duty,--,--,--,Excise Duty,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,--,--,Admin. And Selling Expenses,--,--,--,Admin. And Selling Expenses,--,--,--
R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,--,--,R & D Expenses,--,--,--,R & D Expenses,--,--,--
Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,--,--,Provisions And Contingencies,--,--,--,Provisions And Contingencies,--,--,--
Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,--,--,Exp. Capitalised,--,--,--,Exp. Capitalised,--,--,--
Other Expenses,808.88,693.85,654.52,613.17,708.24,Other Expenses,553.42,599.17,598.47,656.58,588.62,Other Expenses,592.20,527.04,599.99,546.85,925.72,Other Expenses,769.23,680.70,661.38,703.79,544.39,Other Expenses,626.34,573.76,548.68,470.35,515.66,Other Expenses,505.77,442.40,384.67,419.07,410.23,Other Expenses,384.83,327.97,334.79,334.32,325.96,Other Expenses,294.02,298.19,262.34,300.65,244.97,Other Expenses,229.13,246.75,244.48,218.67,204.83,Other Expenses,197.45,193.64,153.38,144.05,145.19,Other Expenses,160.66,133.97,127.32,127.57,130.07,Other Expenses,101.58,99.18,113.89,108.03,93.30,Other Expenses,93.92,93.00,109.16,86.10,84.51,Other Expenses,89.47,100.52,81.47,80.38,66.47,Other Expenses,72.25,50.90,57.24,59.36,67.66,Other Expenses,243.49,208.35,328.74,299.80,196.04,Other Expenses,195.18,174.33,224.52,176.78,167.00,Other Expenses,169.65,189.86,155.90,Other Expenses,169.65,189.86,155.90
"P/L Before Other Inc. , Int., Excpt. Items & Tax",652.80,882.57,644.53,745.87,705.29,"P/L Before Other Inc. , Int., Excpt. Items & Tax",739.96,642.94,521.33,565.35,596.37,"P/L Before Other Inc. , Int., Excpt. Items & Tax",558.18,656.11,556.67,654.02,479.54,"P/L Before Other Inc. , Int., Excpt. Items & Tax",552.19,445.22,483.90,424.69,434.86,"P/L Before Other Inc. , Int., Excpt. Items & Tax",370.10,423.73,404.88,366.21,313.90,"P/L Before Other Inc. , Int., Excpt. Items & Tax",421.15,307.90,377.34,311.85,337.88,"P/L Before Other Inc. , Int., Excpt. Items & Tax",257.64,336.69,229.66,277.79,264.46,"P/L Before Other Inc. , Int., Excpt. Items & Tax",278.11,212.39,245.21,262.48,229.18,"P/L Before Other Inc. , Int., Excpt. Items & Tax",142.93,63.74,165.37,132.08,121.05,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--
Other Income,71.97,66.32,71.66,68.86,59.16,Other Income,68.36,63.84,86.14,84.99,52.37,Other Income,84.77,78.77,60.47,55.58,66.29,Other Income,67.09,49.39,36.76,50.50,48.92,Other Income,39.03,34.71,47.83,52.12,43.71,Other Income,34.12,23.10,25.22,48.64,25.50,Other Income,49.28,26.87,25.23,20.73,24.79,Other Income,17.41,19.11,22.07,86.45,16.22,Other Income,9.08,17.36,17.67,15.95,11.20,Other Income,16.89,25.71,8.78,13.24,10.78,Other Income,10.06,6.38,14.45,8.28,7.15,Other Income,6.04,9.14,8.80,9.53,4.14,Other Income,9.71,3.59,5.41,4.40,3.20,Other Income,4.50,3.47,2.84,7.66,2.43,Other Income,3.00,1.85,3.34,5.38,3.73,Other Income,3.03,5.60,3.24,1.82,2.92,Other Income,8.23,2.49,2.47,1.71,3.95,Other Income,3.33,2.09,1.16,Other Income,3.33,2.09,1.16
"P/L Before Int., Excpt. Items & Tax",724.77,948.89,716.19,814.73,764.45,"P/L Before Int., Excpt. Items & Tax",808.32,706.78,607.47,650.34,648.74,"P/L Before Int., Excpt. Items & Tax",642.95,734.88,617.14,709.60,545.83,"P/L Before Int., Excpt. Items & Tax",619.28,494.61,520.66,475.19,483.78,"P/L Before Int., Excpt. Items & Tax",409.13,458.44,452.71,418.33,357.61,"P/L Before Int., Excpt. Items & Tax",455.27,331.00,402.56,360.49,363.38,"P/L Before Int., Excpt. Items & Tax",306.92,363.56,254.89,298.52,289.25,"P/L Before Int., Excpt. Items & Tax",295.52,231.50,267.28,348.93,245.40,"P/L Before Int., Excpt. Items & Tax",152.01,81.10,183.04,148.03,132.25,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--,"P/L Before Int., Excpt. Items & Tax",--,--,--
Interest,9.92,8.70,6.63,4.76,6.60,Interest,5.20,4.97,4.29,5.69,4.59,Interest,4.40,4.18,10.30,5.79,4.52,Interest,2.79,8.60,7.84,6.44,4.26,Interest,8.78,6.39,6.15,4.76,6.85,Interest,5.97,9.97,7.77,13.68,6.20,Interest,6.62,4.32,7.36,3.64,2.36,Interest,1.99,3.99,4.38,2.54,2.85,Interest,2.58,2.56,3.00,2.26,1.28,Interest,2.69,2.55,1.75,1.52,2.28,Interest,1.77,1.30,0.65,1.75,0.88,Interest,0.55,0.64,0.77,0.62,0.74,Interest,1.04,1.31,1.47,1.45,1.60,Interest,1.85,1.90,3.00,0.33,4.24,Interest,5.30,4.70,3.60,6.15,7.24,Interest,5.13,2.67,5.54,6.28,5.80,Interest,3.66,6.99,5.70,5.98,4.61,Interest,4.72,5.42,4.83,Interest,4.72,5.42,4.83
P/L Before Exceptional Items & Tax,714.85,940.19,709.56,809.97,757.85,P/L Before Exceptional Items & Tax,803.12,701.81,603.18,644.65,644.15,P/L Before Exceptional Items & Tax,638.55,730.70,606.84,703.81,541.31,P/L Before Exceptional Items & Tax,616.49,486.01,512.82,468.75,479.52,P/L Before Exceptional Items & Tax,400.35,452.05,446.56,413.57,350.76,P/L Before Exceptional Items & Tax,449.30,321.03,394.79,346.81,357.18,P/L Before Exceptional Items & Tax,300.30,359.24,247.53,294.88,286.89,P/L Before Exceptional Items & Tax,293.53,227.51,262.90,346.39,242.55,P/L Before Exceptional Items & Tax,149.43,78.54,180.04,145.77,130.97,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,--,--,P/L Before Exceptional Items & Tax,--,--,--,P/L Before Exceptional Items & Tax,--,--,--
Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,-0.05,-65.30,--,Exceptional Items,--,11.63,--,--,-25.16,Exceptional Items,-9.96,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,--,--,Exceptional Items,--,--,--,Exceptional Items,--,--,--
P/L Before Tax,714.85,940.19,709.56,809.97,757.85,P/L Before Tax,803.12,701.81,603.18,644.65,644.15,P/L Before Tax,638.55,730.70,606.79,638.51,541.31,P/L Before Tax,616.49,497.64,512.82,468.75,454.36,P/L Before Tax,390.39,452.05,446.56,413.57,350.76,P/L Before Tax,449.30,321.03,394.79,346.81,357.18,P/L Before Tax,300.30,359.24,247.53,294.88,286.89,P/L Before Tax,293.53,227.51,262.90,346.39,242.55,P/L Before Tax,149.43,78.54,180.04,145.77,130.97,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,--,--,P/L Before Tax,--,--,--,P/L Before Tax,--,--,--
Tax,235.17,309.23,228.07,267.34,266.28,Tax,274.15,228.36,202.23,203.83,218.32,Tax,203.28,229.52,205.84,214.94,170.56,Tax,188.95,157.82,159.75,143.08,145.52,Tax,123.32,144.58,135.96,129.65,111.20,Tax,137.27,97.21,120.20,102.22,107.12,Tax,87.40,108.82,77.48,92.38,89.50,Tax,92.54,72.87,84.08,97.84,82.59,Tax,50.91,28.55,59.29,47.22,42.90,Tax,51.52,53.61,38.62,37.39,33.16,Tax,39.41,30.03,29.36,32.04,32.64,Tax,23.05,17.29,31.65,28.45,19.59,Tax,17.99,23.28,26.29,15.99,13.61,Tax,25.08,25.69,17.11,18.69,18.94,Tax,17.02,10.00,12.72,12.78,14.87,Tax,9.13,16.23,10.93,11.24,7.35,Tax,7.10,6.11,5.33,5.46,10.64,Tax,9.34,7.59,5.43,Tax,9.34,7.59,5.43
P/L After Tax from Ordinary Activities,479.68,630.96,481.49,542.63,491.57,P/L After Tax from Ordinary Activities,528.97,473.45,400.95,440.82,425.83,P/L After Tax from Ordinary Activities,435.27,501.18,400.95,423.57,370.75,P/L After Tax from Ordinary Activities,427.54,339.82,353.07,325.67,308.84,P/L After Tax from Ordinary Activities,267.07,307.47,310.60,283.92,239.56,P/L After Tax from Ordinary Activities,312.03,223.82,274.59,244.59,250.06,P/L After Tax from Ordinary Activities,212.90,250.42,170.05,202.50,197.39,P/L After Tax from Ordinary Activities,200.99,154.64,178.82,248.55,159.96,P/L After Tax from Ordinary Activities,98.52,49.99,120.75,98.55,88.07,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,--,--,P/L After Tax from Ordinary Activities,--,--,--,P/L After Tax from Ordinary Activities,--,--,--
Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,--,0.42,Prior Year Adjustments,--,--,1.38,4.10,-1.23,Prior Year Adjustments,-0.03,2.71,-0.13,--,4.49,Prior Year Adjustments,-0.08,0.12,0.96,-0.55,3.23,Prior Year Adjustments,2.06,-1.52,0.00,2.08,0.18,Prior Year Adjustments,-0.17,0.04,0.20,0.33,-1.75,Prior Year Adjustments,0.20,0.11,0.00,-0.46,0.02,Prior Year Adjustments,0.02,0.04,0.15,--,-1.36,Prior Year Adjustments,--,--,--,-1.02,--,Prior Year Adjustments,--,--,-0.81,--,--,Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,--,--,Prior Year Adjustments,--,--,--,Prior Year Adjustments,--,--,--
